ТnЦЉ,РlМы,ФNП≠РlМы,0Б` 4Нќ,5Б` 9,10Б`14,РґОYФNЧо  Рl    Мы,15Б`19Нќ,20Б`24,25Б`29,30Б`34,35Б`39,40Б`44,45Б`49,50Б`54,55Б`59,60Б`64,ШVФNРlМы,65Б`69Нќ,70Б`74,75Б`79,80Б`84,85Б`89,90Б`94,95Б`99,100Нќ  И»Пг
Ум 1ПрУМ 7ТЪЦЏ,476,56,20,17,19,359,21,37,40,36,66,37,32,34,29,27,61,25,7,11,9,7,1,1,Б|
Ум 1ПрУМ 8ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрУМ 1ТЪЦЏ,89,8,4,2,2,52,2,8,6,12,5,1,4,3,8,3,29,3,4,7,8,7,Б|,Б|,Б|
Ум 2ПрУМ 2ТЪЦЏ,241,7,3,1,3,207,4,38,29,20,22,24,24,15,11,20,27,5,7,10,3,1,1,Б|,Б|
Ум 2ПрУМ 3ТЪЦЏ,257,10,3,1,6,218,1,26,36,35,34,29,22,9,18,8,29,9,8,7,3,Б|,2,Б|,Б|
Ум 2ПрУМ 4ТЪЦЏ,240,23,11,7,5,166,4,19,16,13,17,26,10,9,32,20,51,11,10,16,5,7,1,1,Б|
Ум 2ПрУМ 5ТЪЦЏ,205,15,6,4,5,170,10,17,31,25,20,14,12,10,16,15,20,8,1,2,2,6,Б|,1,Б|
Ум 2ПрУМ 6ТЪЦЏ,597,33,10,13,10,363,16,24,25,24,34,29,38,48,78,47,201,64,56,41,21,15,3,1,Б|
Ум 3ПрУМ 1ТЪЦЏ,166,9,3,2,4,96,4,9,20,10,7,5,8,13,10,10,61,11,13,12,13,10,2,Б|,Б|
Ум 3ПрУМ 2ТЪЦЏ,505,22,10,7,5,400,7,42,64,60,44,36,34,33,43,37,83,26,20,22,12,3,Б|,Б|,Б|
Ум 3ПрУМ 3ТЪЦЏ,159,6,3,1,2,139,6,33,33,29,17,8,2,4,3,4,14,1,4,2,3,2,1,1,Б|
Ум 3ПрУМ 4ТЪЦЏ,335,23,11,9,3,270,11,47,47,28,31,29,22,23,14,18,42,22,7,5,5,2,1,Б|,Б|
Ум 3ПрУМ 5ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 3ПрУМ 6ТЪЦЏ,22,Б|,Б|,Б|,Б|,20,Б|,3,3,4,1,1,1,1,3,3,2,Б|,Б|,Б|,1,1,Б|,Б|,Б|
Ум 4ПрУМ 1ТЪЦЏ,35,2,2,Б|,Б|,23,1,5,1,4,3,1,3,2,2,1,10,1,5,2,1,1,Б|,Б|,Б|
Ум 4ПрУМ 2ТЪЦЏ,265,5,2,3,Б|,228,10,37,38,36,36,17,11,13,19,11,32,10,8,8,3,1,1,1,Б|
Ум 4ПрУМ 3ТЪЦЏ,345,6,6,Б|,Б|,221,4,48,60,31,18,17,12,10,9,12,118,15,18,37,29,16,3,Б|,Б|
Ум 4ПрУМ 4ТЪЦЏ,313,18,11,5,2,266,9,41,39,48,39,29,17,21,14,9,29,12,5,5,4,2,Б|,1,Б|
Ум 4ПрУМ 5ТЪЦЏ,295,8,3,4,1,251,8,56,57,40,29,18,14,7,10,12,36,10,6,9,4,4,2,1,Б|
Ум 5ПрУМ 1ТЪЦЏ,113,8,6,1,1,79,6,13,7,13,4,8,5,4,9,10,26,10,7,3,4,1,Б|,1,Б|
Ум 5ПрУМ 2ТЪЦЏ,306,9,4,3,2,268,4,71,66,32,30,14,14,6,16,15,29,5,10,3,6,4,Б|,1,Б|
Ум 5ПрУМ 3ТЪЦЏ,341,11,7,4,Б|,285,3,60,58,54,39,18,15,10,15,13,45,11,6,11,6,6,4,1,Б|
Ум 5ПрУМ 5ТЪЦЏ,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 6ПрУМ 1ТЪЦЏ,87,6,4,2,Б|,79,4,19,14,12,7,2,8,5,6,2,2,1,Б|,Б|,Б|,Б|,1,Б|,Б|
Ум 6ПрУМ 2ТЪЦЏ,199,8,6,1,1,171,7,46,27,25,18,12,5,14,13,4,20,5,6,3,5,Б|,1,Б|,Б|
Ум 6ПрУМ 3ТЪЦЏ,52,Б|,Б|,Б|,Б|,45,2,14,9,7,4,1,3,2,1,2,7,1,2,2,2,Б|,Б|,Б|,Б|
Ум 7ПрУМ 2ТЪЦЏ,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 1ТЪЦЏ,18,Б|,Б|,Б|,Б|,12,Б|,Б|,Б|,2,Б|,2,1,2,4,1,6,3,1,1,1,Б|,Б|,Б|,Б|
Ум 1ПрРЉ 4ТЪЦЏ,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 5ТЪЦЏ,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 6ТЪЦЏ,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 7ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ 8ТЪЦЏ,87,6,2,3,1,62,7,4,4,6,5,6,6,11,7,6,19,5,7,2,2,1,2,Б|,Б|
Ум 1ПрРЉ 9ТЪЦЏ,108,4,1,Б|,3,90,4,22,18,9,12,7,3,7,6,2,14,5,3,3,Б|,3,Б|,Б|,Б|
Ум 1ПрРЉ10ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 1ПрРЉ11ТЪЦЏ,39,1,Б|,Б|,1,38,Б|,3,5,8,9,5,3,1,3,1,Б|,Б|,Б|,Б|,Б|,Б|,Б|,Б|,Б|
Ум 1ПрРЉ12ТЪЦЏ,81,Б|,Б|,Б|,Б|,67,5,9,10,7,5,3,11,8,5,4,14,3,2,4,2,2,Б|,1,Б|
Ум 1ПрРЉ13ТЪЦЏ,119,14,7,6,1,90,1,8,11,15,15,13,5,5,9,8,15,2,4,2,2,4,1,Б|,Б|
Ум 1ПрРЉ14ТЪЦЏ,70,Б|,Б|,Б|,Б|,61,2,18,5,10,7,2,4,5,6,2,9,1,2,5,1,Б|,Б|,Б|,Б|
Ум 1ПрРЉ15ТЪЦЏ,94,7,1,2,4,68,Б|,10,9,7,11,11,8,3,5,4,19,4,7,5,2,Б|,1,Б|,Б|
Ум 1ПрРЉ16ТЪЦЏ,75,1,1,Б|,Б|,66,1,15,9,6,12,2,5,9,6,1,8,4,1,Б|,3,Б|,Б|,Б|,Б|
Ум 1ПрРЉ17ТЪЦЏ,164,6,2,1,3,117,3,7,4,12,21,12,20,8,13,17,41,18,9,7,6,1,Б|,Б|,Б|
Ум 1ПрРЉ18ТЪЦЏ,139,11,3,3,5,115,2,27,31,16,13,8,8,4,4,2,13,2,5,3,2,Б|,1,Б|,Б|
Ум 1ПрРЉ19ТЪЦЏ,332,39,13,15,11,252,6,23,33,36,39,36,27,21,18,13,41,19,6,5,7,3,Б|,1,Б|
Ум 1ПрРЉ20ТЪЦЏ,241,32,19,10,3,189,4,10,18,37,39,24,16,16,17,8,20,8,4,2,4,2,Б|,Б|,Б|
Ум 1ПрРЉ21ТЪЦЏ,298,32,13,12,7,224,9,16,26,22,38,35,14,25,21,18,42,13,15,6,5,2,1,Б|,Б|
Ум 1ПрРЉ22ТЪЦЏ,97,4,3,1,Б|,85,1,10,16,10,15,8,4,5,7,9,8,1,2,2,1,2,Б|,Б|,Б|
Ум 1ПрРЉ23ТЪЦЏ,368,44,6,18,20,248,16,13,13,16,24,41,35,32,33,25,76,22,20,22,6,4,1,1,Б|
Ум 1ПрРЉ24ТЪЦЏ,166,11,5,5,1,136,6,13,18,17,17,18,19,13,8,7,19,4,6,4,4,Б|,1,Б|,Б|
Ум 1ПрРЉ25ТЪЦЏ,252,37,9,11,17,174,8,9,11,19,22,31,23,20,25,6,41,19,4,9,5,3,1,Б|,Б|
Ум 1ПрРЉ26ТЪЦЏ,70,5,1,3,1,46,1,3,3,5,4,7,5,6,6,6,19,6,1,6,2,2,1,1,Б|
Ум 1ПрРЉ27ТЪЦЏ,299,38,7,14,17,190,10,7,7,15,25,32,26,21,29,18,71,19,17,18,10,6,Б|,1,Б|
Ум 1ПрРЉ28ТЪЦЏ,183,37,10,13,14,118,4,4,6,12,18,25,19,11,9,10,28,9,8,6,4,1,Б|,Б|,Б|
Ум 2ПрРЉ 1ТЪЦЏ,49,1,1,Б|,Б|,33,Б|,1,3,8,5,6,4,4,2,Б|,15,2,10,1,1,Б|,Б|,1,Б|
Ум 2ПрРЉ 2ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 3ТЪЦЏ,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 4ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ 5ТЪЦЏ,55,Б|,Б|,Б|,Б|,37,Б|,2,6,4,4,3,5,3,7,3,18,7,3,2,3,2,1,Б|,Б|
Ум 2ПрРЉ 6ТЪЦЏ,48,Б|,Б|,Б|,Б|,37,3,1,4,7,3,5,2,3,3,6,11,3,3,3,1,1,Б|,Б|,Б|
Ум 2ПрРЉ 7ТЪЦЏ,21,Б|,Б|,Б|,Б|,15,Б|,1,2,Б|,1,3,Б|,1,2,5,6,1,1,1,2,Б|,Б|,1,Б|
Ум 2ПрРЉ 8ТЪЦЏ,310,22,9,6,7,240,12,24,15,21,24,31,28,32,30,23,48,18,15,8,5,2,Б|,Б|,Б|
Ум 2ПрРЉ 9ТЪЦЏ,72,2,2,Б|,Б|,64,Б|,13,19,12,9,3,Б|,4,2,2,6,3,Б|,2,Б|,Б|,Б|,1,Б|
Ум 2ПрРЉ10ТЪЦЏ,241,2,2,Б|,Б|,167,1,18,33,18,20,18,10,13,20,16,72,20,22,9,11,7,2,1,Б|
Ум 2ПрРЉ11ТЪЦЏ,43,2,Б|,2,Б|,37,3,10,3,Б|,Б|,4,4,2,5,6,4,Б|,Б|,1,Б|,2,1,Б|,Б|
Ум 2ПрРЉ12ТЪЦЏ,322,16,12,1,3,247,18,27,37,30,28,18,17,20,22,30,59,10,21,11,12,4,1,Б|,Б|
Ум 2ПрРЉ13ТЪЦЏ,217,9,3,3,3,183,15,35,32,26,12,14,13,14,9,13,25,11,4,2,4,3,1,Б|,Б|
Ум 2ПрРЉ14ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 2ПрРЉ18ТЪЦЏ,128,3,1,2,Б|,109,5,31,23,14,10,3,3,9,6,5,16,2,3,8,3,Б|,Б|,Б|,Б|
Ум 2ПрРЉ19ТЪЦЏ,261,8,6,Б|,2,219,6,33,45,38,22,11,18,19,18,9,34,8,5,8,9,3,Б|,1,Б|
Ум 2ПрРЉ20ТЪЦЏ,67,Б|,Б|,Б|,Б|,50,3,10,7,2,4,1,2,10,7,4,17,5,3,4,4,Б|,1,Б|,Б|
Ум 2ПрРЉ21ТЪЦЏ,174,9,3,3,3,140,7,6,19,18,24,15,9,19,13,10,25,9,5,7,1,3,Б|,Б|,Б|
Ум 2ПрРЉ22ТЪЦЏ,347,60,18,25,17,238,9,10,20,20,44,40,31,27,20,17,49,12,9,10,11,3,3,1,Б|
Ум 2ПрРЉ23ТЪЦЏ,118,9,3,4,2,81,4,14,8,9,13,7,6,4,8,8,28,6,7,7,4,3,Б|,1,Б|
Ум 2ПрРЉ24ТЪЦЏ,160,27,11,10,6,106,6,3,7,15,28,18,8,2,12,7,27,7,6,7,3,1,3,Б|,Б|
Ум 2ПрРЉ25ТЪЦЏ,238,9,2,2,5,172,7,17,18,23,27,26,19,15,9,11,57,15,19,11,7,2,3,Б|,Б|
Ум 2ПрРЉ26ТЪЦЏ,351,34,6,12,16,236,13,12,20,23,29,36,21,25,27,30,81,21,18,15,15,8,4,Б|,Б|
Ум 2ПрРЉ27ТЪЦЏ,128,10,4,2,4,95,3,8,7,20,16,10,6,8,7,10,23,4,7,6,2,3,1,Б|,Б|
Ум 2ПрРЉ28ТЪЦЏ,99,9,3,4,2,65,1,Б|,2,5,14,13,7,9,7,7,25,10,5,6,1,Б|,3,Б|,Б|
Ум 3ПрРЉ 1ТЪЦЏ,125,5,4,1,Б|,103,1,20,24,14,9,8,13,4,5,5,17,4,2,3,3,3,2,Б|,Б|
Ум 3ПрРЉ 2ТЪЦЏ,123,1,Б|,1,Б|,68,2,5,4,3,4,6,9,7,17,11,54,19,8,12,6,5,3,1,Б|
Ум 3ПрРЉ 3ТЪЦЏ,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 3ПрРЉ 4ТЪЦЏ,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 3ПрРЉ 5ТЪЦЏ,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 3ПрРЉ 6ТЪЦЏ,147,13,6,6,1,88,2,3,6,10,17,11,8,11,12,8,46,17,9,8,8,3,Б|,1,Б|
Ум 3ПрРЉ 7ТЪЦЏ,146,1,Б|,1,Б|,118,7,22,19,14,11,11,4,10,12,8,27,7,10,4,4,1,1,Б|,Б|
Ум 3ПрРЉ 8ТЪЦЏ,366,18,6,6,6,265,6,25,59,48,33,17,16,22,21,18,83,22,26,20,7,7,1,Б|,Б|
Ум 3ПрРЉ 9ТЪЦЏ,495,48,22,14,12,370,12,29,41,49,60,31,39,30,37,42,77,23,16,17,10,4,5,2,Б|
Ум 3ПрРЉ10ТЪЦЏ,26,4,Б|,1,3,14,Б|,1,2,1,2,1,Б|,1,3,3,8,3,2,2,1,Б|,Б|,Б|,Б|
Ум 3ПрРЉ11ТЪЦЏ,170,3,Б|,Б|,3,81,1,1,1,5,8,9,11,11,16,18,86,22,28,23,8,3,2,Б|,Б|
Ум 3ПрРЉ12ТЪЦЏ,220,8,3,2,3,165,11,14,18,19,17,18,13,19,22,14,47,9,13,14,6,3,2,Б|,Б|
Ум 3ПрРЉ13ТЪЦЏ,82,Б|,Б|,Б|,Б|,76,3,19,21,10,14,3,4,Б|,1,1,6,2,1,1,2,Б|,Б|,Б|,Б|
Ум 3ПрРЉ14ТЪЦЏ,19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 3ПрРЉ17ТЪЦЏ,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 3ПрРЉ18ТЪЦЏ,21,Б|,Б|,Б|,Б|,11,Б|,1,1,2,Б|,2,1,2,1,1,10,4,1,Б|,2,2,1,Б|,Б|
Ум 3ПрРЉ20ТЪЦЏ,183,15,8,2,5,143,9,14,34,20,14,10,12,10,14,6,25,10,5,8,Б|,1,Б|,1,Б|
Ум 3ПрРЉ21ТЪЦЏ,120,10,Б|,3,7,79,8,8,5,8,3,6,12,14,10,5,31,5,7,11,4,4,Б|,Б|,Б|
Ум 3ПрРЉ22ТЪЦЏ,182,17,10,4,3,143,8,17,18,16,19,16,13,13,11,12,22,1,2,3,6,6,1,2,1
Ум 3ПрРЉ23ТЪЦЏ,170,16,9,3,4,133,4,9,16,31,19,15,12,7,8,12,21,5,3,6,5,1,1,Б|,Б|
Ум 3ПрРЉ24ТЪЦЏ,111,9,2,5,2,83,3,7,16,10,14,10,4,2,9,8,19,7,7,4,Б|,1,Б|,Б|,Б|
Ум 3ПрРЉ25ТЪЦЏ,194,24,4,8,12,126,4,11,19,15,11,16,12,11,17,10,44,9,11,14,4,5,1,Б|,Б|
Ум 3ПрРЉ26ТЪЦЏ,220,44,14,19,11,148,6,6,9,13,37,21,16,20,14,6,28,8,7,8,4,Б|,1,Б|,Б|
Ум 3ПрРЉ27ТЪЦЏ,252,31,10,12,9,189,10,18,14,20,29,28,16,22,25,7,32,9,4,9,3,4,2,1,Б|
Ум 3ПрРЉ28ТЪЦЏ,53,5,2,1,2,34,5,2,5,3,1,1,5,4,4,4,14,1,5,5,2,1,Б|,Б|,Б|
Ум 4ПрРЉ 1ТЪЦЏ,56,Б|,Б|,Б|,Б|,40,Б|,4,6,5,3,1,2,1,11,7,16,7,3,4,1,Б|,Б|,1,Б|
Ум 4ПрРЉ 2ТЪЦЏ,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 4ПрРЉ 4ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 4ПрРЉ 5ТЪЦЏ,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 4ПрРЉ 6ТЪЦЏ,68,Б|,Б|,Б|,Б|,63,Б|,8,14,8,10,9,5,1,2,6,5,1,2,Б|,Б|,1,1,Б|,Б|
Ум 4ПрРЉ 7ТЪЦЏ,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 4ПрРЉ 8ТЪЦЏ,229,20,8,9,3,189,2,20,31,29,35,21,15,10,14,12,20,4,7,4,4,1,Б|,Б|,Б|
Ум 4ПрРЉ 9ТЪЦЏ,54,2,Б|,Б|,2,36,2,4,5,6,3,3,2,3,3,5,16,6,3,5,1,1,Б|,Б|,Б|
Ум 4ПрРЉ10ТЪЦЏ,366,10,7,2,1,317,9,63,67,45,29,28,20,17,26,13,39,13,11,7,6,1,1,Б|,Б|
Ум 4ПрРЉ11ТЪЦЏ,245,14,5,4,5,192,5,13,41,33,24,16,12,13,23,12,39,17,13,6,1,1,1,Б|,Б|
Ум 4ПрРЉ12ТЪЦЏ,367,18,10,7,1,284,8,63,55,29,27,17,16,16,31,22,65,17,17,14,10,5,2,Б|,Б|
Ум 4ПрРЉ13ТЪЦЏ,625,73,31,22,20,469,16,64,64,77,71,59,22,28,35,33,83,20,27,15,14,5,1,1,Б|
Ум 4ПрРЉ14ТЪЦЏ,264,16,11,2,3,193,13,32,29,19,26,16,23,14,11,10,55,10,10,21,10,3,1,Б|,Б|
Ум 4ПрРЉ15ТЪЦЏ,272,19,5,7,7,228,4,38,44,31,23,26,22,14,15,11,25,6,5,8,1,4,1,Б|,Б|
Ум 4ПрРЉ16ТЪЦЏ,310,29,12,4,13,248,12,42,41,28,37,20,28,15,17,8,33,5,8,11,7,2,Б|,Б|,Б|
Ум 4ПрРЉ17ТЪЦЏ,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 4ПрРЉ18ТЪЦЏ,189,15,9,3,3,151,15,27,13,13,18,12,21,6,15,11,23,8,4,5,4,2,Б|,Б|,Б|
Ум 4ПрРЉ20ТЪЦЏ,207,40,22,14,4,138,4,10,14,21,22,21,19,5,13,9,29,11,3,5,6,2,1,1,Б|
Ум 4ПрРЉ21ТЪЦЏ,252,21,10,5,6,205,5,30,29,40,24,32,10,9,12,14,26,7,7,6,4,1,Б|,1,Б|
Ум 4ПрРЉ22ТЪЦЏ,194,44,14,18,12,129,7,10,5,17,27,16,13,11,12,11,21,5,5,2,5,2,2,Б|,Б|
Ум 4ПрРЉ23ТЪЦЏ,232,23,5,10,8,161,5,14,19,8,27,19,21,20,18,10,48,7,17,8,9,6,1,Б|,Б|
Ум 4ПрРЉ24ТЪЦЏ,165,14,10,3,1,128,5,16,16,28,23,12,11,6,5,6,23,4,5,5,6,2,Б|,1,Б|
Ум 4ПрРЉ25ТЪЦЏ,255,41,18,11,12,187,10,10,28,33,34,25,17,13,11,6,27,5,13,5,1,3,Б|,Б|,Б|
Ум 4ПрРЉ26ТЪЦЏ,316,36,11,15,10,207,10,13,19,20,37,31,17,25,19,16,73,28,12,16,10,5,2,Б|,Б|
Ум 4ПрРЉ27ТЪЦЏ,96,5,3,1,1,74,3,4,5,14,12,6,2,7,10,11,17,6,3,3,2,2,1,Б|,Б|
Ум 5ПрРЉ 1ТЪЦЏ,181,1,1,Б|,Б|,175,5,43,47,36,16,9,7,2,4,6,5,1,1,1,Б|,1,1,Б|,Б|
Ум 5ПрРЉ 2ТЪЦЏ,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ум 5ПрРЉ 3ТЪЦЏ,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
